SUPT4H1 	HTATIP2
DCUN1D3 	SMURF1
GALNS 	ERRFI1
STIP1 	GABBR2
LGR5 	VTI1B
ACO1 	TPST2
GSPT1 	HGF
WWP1 	THRA
MEP1B 	LY96
U2AF2 	E2F1
PAIP1 	PTPRN2
CAMTA1 	NCOR1
JAK1 	DDC
BCL6 	ENOPH1
SMN1 	MAP3K9
FKBP14 	MKNK2
RAB4B 	HNMT
KIF1A 	CBL
UBE2F 	DIRAS2
PABPN1 	CYP2C19
NACC1 	BIRC2
CDC37 	LASP1
RANGAP1 	NUP98
STK4 	TCF3
APITD1 	DOT1L
BAK1 	MAOA
THBS1 	ALDH5A1
TRIM33 	MALT1
GALK1 	AOC1
L3MBTL3 	CTNNBIP1
INSC 	ACE2
QSOX1 	THOP1
GTF2A2 	UBB
POLD3 	NUP214
CTNNBIP1 	NLRX1
IL20RA 	TNKS
BTG2 	TBC1D7
CDY1B 	ARL1
CD2 	TOP2A
FKBP4 	NPM1
BHMT 	VPS25
SUMF1 	GLIPR2
SYNE1 	CYP19A1
DBI 	NUDT3
CDK16 	DDX25
PSAT1 	CASP7
PPIL1 	PLEKHA1
ANKRA2 	GCA
CA6 	S100P
YWHAH 	VCPKMT
SPHK1 	TNFSF11
FGFR3 	PTPRF
PANK3 	WDTC1
SENP7 	NTRK2
NTRK3 	HTATIP2
BCL9 	ADAM33
HSPA5 	RAB5B
MCIDAS 	ERN1
ENOPH1 	RUVBL1
TPK1 	CHMP1B
MARK2 	HDGFRP2
SHMT1 	NFASC
SNX11 	HBEGF
MEPCE 	PEA15
OLR1 	GAMT
CBL 	BRPF3
DPP7 	NFATC2IP
GSTA2 	PPIE
PPP1R8 	SLIT2
CD38 	ROS1
RRM2 	EPRS
ITGA4 	RB1
PBRM1 	TDG
TAF9 	GPX4
GMPR 	PPP5C
HEXIM1 	FEV
ARTN 	CLOCK
GABARAPL1 	TCEA1
KIF18A 	SEC24A
PSIP1 	GNE
IL22 	B3GAT1
CA3 	FGF23
PUS1 	RTN4IP1
OGT 	PDGFA
DAPK1 	KLHL11
FTL 	PCYT2
NUP98 	MTAP
SNUPN 	ZADH2
RASEF 	SNX24
QPRT 	CNOT7
SMURF1 	MYLK4
RPL30 	ARL5A
HIBCH 	RHOU
SLC3A2 	ERI1
PECR 	BCAR3
BOC 	PLK2
ERRFI1 	SULT1C4
DKK1 	CD2
BBOX1 	PPARA
RMI2 	IL20RA
GINS2 	MPDZ
RERG 	EIF5A
CNTN1 	PDPK1
ACTN2 	PARG
PUF60 	TP53
KPNA2 	MMAB
ACMSD 	IL20RB
PRDX2 	PTBP1
POLK 	TPP1
RRAS 	PTPN14
HECW1 	ZG16
GRB2 	AIP
PRKCQ 	THRB
ACOT4 	MAFA
NTRK3 	NUP214
HEXA 	TRPV2
RAB26 	CELF1
GUCY1B3 	DUSP5
OTUD5 	RHOU
CYP11B2 	RNASET2
ACVR1 	KCNJ4
NCR3LG1 	TAF1L
NHP2L1 	TBC1D22A
QPCT 	ZC3H12A
EPHA4 	LIMS1
RNF146 	ZC3H12A
ILK 	TAF13
IL1RAPL1 	ROR2
PSMD7 	ANXA2
CAPN2 	ABL2
ADPRH 	POR
KCNIP1 	TBC1D1
UBAP1 	KIF9
CFL1 	HTRA2
PRCP 	HARS
APOH 	CALM1
GSTA1 	CASC5
BTF3 	TAF10
SULT1C4 	IL20
STYX 	GRM1
NUDT10 	NAGA
PTPN18 	PHF1
KMT2A 	BCAT1
HLTF 	VDR
ATG12 	TNRC6C
GIMAP1 	TBP
DYNLL1 	CRYL1
DDX20 	TBX3
HDHD1 	BPTF
SOCS4 	PCBP2
CCNA2 	PKLR
MKNK2 	CSNK1G2
SMG5 	TFAM
RNF41 	NR1D1
RLBP1 	HIST1H1E
SIGLEC7 	CASC3
CAB39 	SEC14L2
SPIRE1 	ELK4
MGLL 	SMYD2
MMP13 	ZRANB1
USP5 	BCAR1
PSMC4 	GIMAP4
FAM96A 	GOLPH3
TBX5 	GAMT
BECN1 	CRYAB
SLC9A3R1 	HAO1
KHK 	S100A4
STARD5 	PMAIP1
PTPRF 	VRK2
TLR10 	EDIL3
FADD 	STARD5
ISG15 	LARP4B
UBQLN3 	TBC1D22B
NUDT16L1 	CPSF7
NDEL1 	HNMT
FNBP1 	KDM4E
CYP2C8 	RGS7
TXNIP 	TOP1
REV3L 	ARFGEF1
TBC1D22A 	MIOX
MB21D1 	CIB1
DCAF4 	NFE2L2
KRAS 	CHMP1B
EPHA5 	HSPA1A
TDG 	PDCD6
RAMP2 	SMG7
PARN 	LMO2
DAO 	RBM25
NAMPT 	PDE4A
SERPINB3 	KLRC1
SEC23A 	NMRK1
HBP1 	FGF19
PSMF1 	STIP1
ITSN1 	KRT14
SLAIN2 	NT5E
CA7 	IL34
RAD18 	CDKL5
BCL9 	ARTN
TES 	AUH
PPM1K 	BCL2A1
SSH2 	CBLC
MTMR2 	MYOM1
DIRAS2 	TAF1L
PLXNB1 	CA3
SRM 	DNM3
ACOT4 	CYP2C8
PWWP2B 	RAB5B
EIF4A3 	BUB1
OTUD3 	KDM7A
BCL9 	YOD1
KAT8 	DLG3
KAT2B 	MAP3K3
DMAP1 	CD5
CACNA1C 	TIMM44
PWWP2B 	ITGB1BP1
FCGR1A 	REM2
UBAP1 	SDCBP
WDYHV1 	NDST1
SLK 	MSH2
CAPN2 	NDC80
PSME1 	HDAC3
RAB9A 	TNFSF9
ROCK2 	SYNE1
GLIPR2 	MEMO1
SNRPG 	LY86
MAP2K6 	ODC1
USB1 	UBE2D3
ANXA6 	POLH
AIF1L 	ODC1
PPP2R3B 	ETS1
RNF8 	DNMBP
CYGB 	PLXNA2
NUDT6 	PLEKHM2
TSNAX 	FLT3
BIRC3 	RNF128
AOC3 	RRAD
NVL 	HIST1H1E
NCBP2 	ANKRD27
NMRAL1 	GSTP1
GLYR1 	ZC3HAV1
PPIF 	DYNLL1
CACNA1S 	RAPH1
NUDT18 	KMT2C
FOXP2 	ZHX2
KIF3C 	MLH1
NCOA3 	PDPK1
FDPS 	OLR1
PARG 	REM2
ARF5 	L3MBTL1
TPST2 	CAPN2
HIST1H1E 	DHRS11
NRP2 	JAK1
GSTA2 	NME1
SPRY2 	PPP2R3B
CYP2E1 	BCAR3
KYNU 	HOXB1
TNPO1 	ITPA
NFE2L2 	TRIM33
IFIT5 	NMRAL1
CHIA 	OTUD1
HIRA 	AIM2
SUPT5H 	E2F1
ERCC1 	YOD1
PIK3C2A 	GINS4
CCNDBP1 	GART
KDM4A 	NACA
RAN 	OXSM
ASAP3 	PPME1
ETFA 	ALDH4A1
ARL5A 	EIF4G3
CDC7 	RPS6KB1
SNRPF 	AHSP
SNRPF 	ITGB2
SMAD2 	SUMO2
TNFSF4 	ARHGEF12
IFIT2 	SNX14
NDOR1 	FAF1
PTGES3 	TP73
PLCB3 	CD40
CTH 	SETD8
PRKAB2 	CISD1
RAE1 	AIMP1
VPS33A 	CHD1
ARL8A 	DCLRE1A
TRIM24 	NUTF2
PPP2R4 	CST7
F10 	AGAP2
RAD23A 	DCXR
NTRK1 	PPT2
MMP16 	ZAP70
ADAMTS1 	GNAI3
ADAMTS1 	QPRT
CSAD 	STAT1
ADAMTS5 	FGF9
PLAA 	BLVRA
LIMS2 	PLXNB2
ATF2 	CALCRL
FOXP2 	CDK5
PDXP 	BRD4
PEA15 	UPF1
IDO1 	FCRLA
CYP2C9 	TKT
FCN1 	BACH1
ALKBH3 	YARS2
PVR 	TCERG1
DHX9 	RRM2B
ZAP70 	TKT
CFH 	GNB2L1
GNB2L1 	CYP11B2
PPM1A 	GRIP1
PDK3 	OARD1
SNRPB 	KAT2A
LRRK2 	SOX17
PKM 	YARS
PDLIM4 	AGO2
FOXO1 	SPAG9
FCN1 	ILK
PTPN1 	ID2
C4BPA 	GRIP1
SPTAN1 	KMT2B
ACAT1 	ALOX12
GRB7 	SH3BP5
UCK1 	RBBP4
STAMBPL1 	PRMT6
ACOT12 	RYR3
FABP3 	NCF2
MAPRE1 	MB21D1
RUVBL1 	IL10RB
SERPINB2 	JUP
HPGDS 	SMN2
PRKCH 	MAST1
CEP170 	KCNJ4
NFAT5 	HBP1
SGTA 	MAPK14
UBE2T 	SULT1B1
THRA 	RYR3
TGS1 	TP53BP1
DAXX 	SNRPG
GIMAP4 	FH
STARD13 	GRHPR
HSD17B14 	PDLIM1
PKM 	WDTC1
FABP4 	AMPH
FKBP14 	CCNT1
B3GAT3 	KIF2C
UFC1 	KPNA1
PCSK9 	SETD6
DUSP18 	NAGA
BTF3 	SH2D1A
ITPKC 	ANTXR2
MTERFD2 	CAMK1D
RORC 	KDM4D
CCNDBP1 	DHH
YWHAZ 	KAT5
PLXNB2 	ITGA4
NCF2 	TBC1D22B
NDST1 	SNX33
NAT2 	IKBKB
CREBBP 	PRPF19
KIF18A 	ITPA
XRCC4 	HK2
ECHS1 	GMFG
PARP16 	GINS1
PRKAA2 	MPDZ
MBD4 	NUDT16L1
BAX 	TGFBI
NUDT5 	SMAD4
NDEL1 	RND1
ERI1 	SUMO3
AOC3 	RHPN2
PAK2 	BCL2L2
ARF1 	HCN4
SULT1C4 	DHRS1
DECR2 	GRM1
MMP13 	PDZK1
ACOT4 	DBF4
RASGRP1 	GSTA1
CBL 	PTPRN2
RMI1 	KCNK9
BTRC 	NUDT16L1
CIB1 	TATDN3
C1S 	IGF1R
BRPF3 	PNRC2
HIBCH 	TJP1
FASN 	VPS26A
DARS 	ERRFI1
DAAM1 	STX6
GRM7 	TAF1
VPS35 	GSK3B
DYNLRB1 	RPL10
TPH1 	GALK1
MACROD1 	PPCDC
JMJD6 	RAB27B
MGEA5 	MAPK13
PDCL2 	RANGAP1
ARL1 	UBE2G1
DCPS 	GRB14
PHYHD1 	POLD3
SEPHS1 	ABI2
SF1 	DDAH1
RPS6KA5 	TERF2IP
RAD52 	DMPK
SERPINA12 	HMBOX1
BCL2 	ACADS
SNX3 	GLOD4
NCBP2 	HEXIM1
VPS26A 	GMNN
RANBP1 	RAB7A
SEPT2 	KLC1
MIOX 	HSD17B10
ADAM8 	S100A13
SLC9A1 	TNKS
KIF23 	ACVR2B
FAS 	BOC
HAO1 	CDKN1B
OXSM 	CASP1
GAN 	CNOT7
SOX17 	SYNJ2BP
ECE2 	TNFSF9
MPHOSPH8 	TAF13
PIM2 	ZBTB32
CAMK2G 	EEA1
EDC3 	PRPF19
SDSL 	NUDC
PDE4C 	TNFRSF10B
CDK8 	ALKBH2
RPS6KA5 	MCEE
NMT1 	TRAPPC6B
MAD2L2 	PHF21A
SERPINB3 	EPAS1
MARK1 	LIG4
ANK1 	U2AF1
UNG 	PTGR2
MINA 	PLXNA4
NAGS 	NAT1
FANCE 	RBKS
PANK1 	PRDX2
IPO13 	NAA50
HECW1 	TXNDC12
NTNG2 	TYMP
PUM1 	EME1
ATG16L1 	RAC1
MECR 	SCP2
GAD2 	KIF1A
PUS1 	DCTD
FES 	GEMIN6
CYP19A1 	PUF60
LRBA 	MOCS2
STIP1 	KLRC1
TP53I3 	PPP2CA
JUND 	GSTT1
CYP1A1 	ILK
IFIT5 	AP1G2
OCRL 	FKBP14
CDO1 	TRPV4
SATB1 	GMDS
FDX1 	MBNL1
KIF1A 	PARK2
NIP7 	F10
WDR5 	MTA1
REM1 	HBB
RPL30 	PEBP1
SUV420H1 	DUSP9
INPPL1 	PATL1
PLXNA4 	RAB9B
TPX2 	FGD5
PEX19 	LRBA
TXNDC17 	MASP2
FECH 	TAF9
SKP1 	CDKL3
IL22RA1 	PARP12
KRT5 	RB1
ADAM33 	AIM2
PANK1 	RSPO1
RNF2 	HDAC4
SREBF2 	PTPN6
ENY2 	CCND1
HIBCH 	CYFIP1
ZHX1 	ODC1
ATL1 	NEK9
CEBPB 	AK2
SGOL1 	CTNNBL1
PRMT5 	HSD11B1
HRAS 	ACOT2
ERI1 	NGLY1
LHPP 	PRPF31
UBE2U 	CBFB
ANKRD27 	SPIRE1
ARL8A 	UBE2S
CD2 	MSL3
CSF2RB 	RAB14
HDAC4 	DSP
MTRR 	SNRPD1
ARHGDIA 	INCENP
RLBP1 	TP73
ARHGAP32 	SNRPG
MYLIP 	WEE1
ACLY 	UBE2C
COL10A1 	DPP3
RHOA 	NCS1
MTERF 	PAK2
ALDH4A1 	MMACHC
RHEB 	MTERF
HSD17B14 	FLNB
UBE2I 	OTUD5
CTNNA1 	GLIPR2
TAF5 	GSN
TDRD5 	NFASC
DDR2 	MSH6
CSNK2A1 	DTYMK
PSPC1 	PCBP2
PSMF1 	NUDT3
SLAIN2 	PPARA
STS 	SNRPD3
MAPK14 	TPX2
BRD3 	TIGIT
AP4M1 	SIRT5
RUVBL1 	DCX
TBX3 	JMJD1C
RTF1 	SPRED1
ATF4 	GCKR
ASB9 	PPP2R4
ACY1 	DHX9
COL1A1 	CEP55
NMRK1 	NR1D2
CFL1 	DDX3X
GLTPD1 	PLCG1
RPS6KB1 	AOC3
SEPHS1 	OTUD5
PKP1 	VEGFC
ESR1 	RALA
CCNT2 	PDE10A
MAST3 	APOBEC3C
UBE2N 	PRKAR1B
PLXNC1 	HDHD3
NUDT10 	FBXL5
MIOX 	ARNT
FAP 	MAPK8IP1
FGF4 	CUL4B
HBA1 	RAB4B
CLK1 	PPCS
ATRX 	MLH1
PPP2R5C 	NTRK1
GTF2F1 	PIAS2
SMYD2 	PKP2
HSPA1L 	CHI3L2
SCOC 	GNAI1
UFC1 	PVRL4
TYMP 	IRF3
PSIP1 	PDCD1
LMNA 	HINT2
CISD1 	RAP2A
GGA1 	PDZK1
FANCM 	EFNA2
ERG 	NEBL
FKBP6 	S100A3
PTP4A1 	ELK1
UTY 	PIWIL1
FHIT 	UBE2K
ACSM2A 	CASP3
POLR2G 	KRT5
CDC42BPB 	BBOX1
RNF8 	USB1
ATF2 	MSRB1
ITGB4 	PRPF31
FOXM1 	OCLN
VPS25 	C11orf30
GALNS 	ARHGAP32
MYLK4 	ZRANB2
TLE1 	TBC1D22A
RAC1 	AQP4
RRP9 	MOCS2
B3GAT1 	BPGM
NMNAT1 	FABP3
ZBTB33 	EPHA4
SEPSECS 	HTRA1
EFNA2 	DCAF4
CRTAM 	FGF8
PPP2R3A 	MYCBP
MINA 	GGA1
OLR1 	SND1
PCSK9 	KIF1C
KLHL12 	PPP2R1A
OTUB1 	H2AFY2
TNFAIP8L2 	UBE2G1
BTBD2 	EPB41L3
FKBP3 	VPS35
TXNRD1 	SEC24A
AP1G1 	MTMR6
ANGPT1 	DGUOK
PLA2G4A 	FOLH1
MAPK14 	KCNK9
ANGPT2 	HBA2
CCND3 	PYCR1
EPHA8 	TSTA3
FDPS 	CAMK2D
HOMER3 	TBRG1
ARHGAP35 	STS
ARID3A 	ANXA6
USP5 	CHMP4C
ACACB 	DLC1
PDCD10 	GMIP
PTPRR 	PTPRS
MTERFD1 	STAMBP
HAT1 	SULT1A2
PIK3R1 	NISCH
PPP2R3A 	FAP
FH 	KDM7A
HEG1 	NAALAD2
GEMIN2 	MIOX
C1QTNF5 	SYT1
MAN1B1 	AKT3
GTF2H5 	PTPRK
ISG20 	RAB6B
ZNF217 	QPRT
SCN5A 	SNX1
FGF8 	ECI2
TBRG1 	GCKR
CD5 	ZC3H12A
GAS6 	SEMA7A
TXNIP 	SSU72
NAGA 	REV3L
MCIDAS 	GEM
POT1 	LNX1
MTERFD1 	BCL2A1
HK1 	PRTFDC1
GSG2 	JUND
CLEC4M 	CYGB
CDY1 	CDC26
PPCS 	VIPR2
ECHS1 	CYLD
THEM5 	RBM17
DDX52 	CYGB
MMACHC 	RAN
SUPV3L1 	RSPO1
ETF1 	BAI3
RHCG 	SRXN1
TBC1D20 	FANCM
SCMH1 	SMAD2
ETV1 	PGLYRP4
DCAF6 	DCTN1
PPWD1 	STIM1
ARL2BP 	LACTB2
SNTB2 	CLIC3
ERG 	FCGR1A
SYN3 	SNX9
TGM2 	NUMBL
GLRX5 	STAMBPL1
FKBP3 	CCBL1
FANCE 	TYW5
CPSF7 	ATG4A
CTSK 	LONP1
UBE2C 	TRIP10
DARS 	FLT4
FN1 	PYCR1
CCBL1 	HTT
PABPC3 	YWHAB
SPRED1 	PDE2A
PDLIM5 	GMIP
BAG6 	RNF8
PANK3 	CDKN1B
SCOC 	DHX58
TNFRSF21 	ALDH18A1
NR1D2 	HIST1H1E
HECW1 	APTX
CYTH3 	NCOA1
ARNTL 	RBM11
GFER 	TP73
RGS6 	EEA1
MMAA 	PPFIA2
RNASEL 	HIP1R
MINA 	ZFYVE20
GRB7 	MACROD1
SYN3 	ENY2
SGOL1 	F11R
CHKA 	TAF9
PC 	IL1RAPL1
IMPA1 	CHIT1
ARNTL 	PPCDC
DCC 	INPPL1
PWWP2B 	PCGF1
MAP2K1 	ERP27
GGA1 	NEDD8
GEMIN6 	MEPCE
SNX9 	SKAP1
BAK1 	MIF
MMP1 	CDK8
KIFC3 	PSMC4
HERC2 	TOM1L1
AGO2 	CYP2R1
CDC25C 	CD81
MVD 	PPIC
ESRRA 	RPS6KB1
PRDX6 	SIRT1
NOTCH1 	NOD1
GORASP2 	PPM1K
NAGA 	GLIPR2
TNFRSF10B 	PTPN9
ATIC 	ARSB
ARNT 	INPP5E
PPP3CA 	EIF3K
SERPINB1 	DKK1
EHMT2 	PDK1
ZRANB1 	VHL
EIF4E 	EGLN1
DUSP19 	LNX1
IDH1 	DCC
UBE2M 	EPB41
RXRB 	DTX3L
BTLA 	GSTK1
CYP1B1 	SKI
MAP3K2 	FANCL
TRIP10 	ZFYVE9
PALB2 	PLCE1
PKD2L1 	ACOT4
NVL 	SIRT5
KDM4E 	ABCB10
ERO1L 	HEXB
SRPK2 	SNX17
EEA1 	CISD1
MEPCE 	CCNA2
KLHL40 	ING4
S100P 	FADD
SET 	TNFRSF13C
TRIM54 	ASRGL1
PPP2R4 	SHFM1
LGALS3 	GGCT
SETD1B 	BID
CCNK 	RAB3B
AKR1C3 	BCL2L2
PARP14 	NUDT9
ZBTB7A 	PTP4A1
RAB9A 	PUS10
DUSP4 	RHOD
ORC6 	ANKRD27
DUSP10 	PDIA3
EPRS 	TPI1
DCAF4 	GSTA1
PARD6A 	BMPR1B
ADSL 	ZADH2
TPRKB 	RABIF
ACAT1 	PRPSAP2
STARD3 	BIRC3
CASP3 	PHF2
B4GALT1 	ME2
SMG7 	LDB1
TDP1 	KDM7A
NSUN5 	ACSS1
GTF2A2 	RADIL
NRAS 	RLBP1
BBOX1 	ABI2
CA8 	WDR92
NCF4 	FGF8
PVRL1 	POLD3
RRM2 	EEF1E1
MYNN 	NACA
ABCB10 	NNMT
FKBP4 	PYGO1
GOLGA4 	IL34
RNF31 	PPM1A
RHOD 	IFIT5
DAXX 	PECR
HDC 	SYTL2
ANXA8 	IL22RA1
FGF10 	APOA4
RRP9 	PTPRS
PLXNB2 	NFRKB
NRP1 	VAPB
GINS4 	GPI
TRAPPC4 	MIOX
STS 	CDYL2
DLC1 	APITD1
BACH1 	USF1
SLC3A2 	SFTPC
BIRC7 	HAO1
GINS2 	HADH
TAF5 	IL5
GALM 	SARS
BHMT 	TSNAX
DAPK1 	ETS2
USH1G 	PRKCG
PDIA6 	CDKN2C
TRMT10A 	SUPT4H1
ADSS 	FOS
GALNT2 	LCMT1
NSMCE1 	CAMK1D
TNFSF11 	NUDT1
DHX58 	TOM1L1
NFYC 	PUM1
SUMO2 	MPG
EIF4A3 	BPNT1
EFNA1 	HSPA6
FOXM1 	BHMT
RPS6KB1 	CLCN5
HSCB 	IL1RAPL1
PPIG 	SDS
RAC2 	NR1D1
TMEM173 	PDK3
DCAF4 	CTDSP2
ADSL 	METAP2
KEAP1 	PBX1
ADH4 	ARTN
RXRB 	RNPC3
CSNK2A1 	NF2
PLXND1 	ABCB6
TXNL4A 	CDC27
ACAT2 	B3GAT2
COPG1 	PTPRR
CD274 	RALGPS1
ITGB1 	CSTA
SMG7 	BTG2
MAST1 	THEM5
MPG 	RPS6KA3
CTNNBIP1 	DOCK1
SNX3 	FLT1
MMP9 	HOGA1
HK1 	PRKCQ
GMIP 	ADAM33
SNRNP200 	SYK
PDCD6IP 	SERPINE1
DUSP18 	RHOD
NFYC 	CCND3
ACVR1 	MAFA
HBA1 	TDRD3
CAT 	LGMN
KMT2C 	PRKCQ
PVRL1 	RBX1
NFKBIA 	APOBEC3C
HMGCS1 	ACO1
PRKCH 	SRPK2
KAT6A 	VASP
ANKRA2 	ARHGDIB
SOX17 	PPOX
CPS1 	GMIP
FUT8 	SPSB4
CASP7 	SUV39H1
SMYD3 	KYNU
NCK2 	TRAPPC6A
RAB5B 	SPRED1
NPC1 	RUVBL1
CYP2B6 	TBC1D22B
SYMPK 	TNFRSF10B
RANBP1 	HTT
GGA1 	GMPR2
HS3ST5 	EGFR
LAMP3 	AHSP
NEK2 	RAB1A
SPTBN1 	MX1
NDC80 	ITPKA
PRMT5 	SPEG
PTPRN2 	PLCB2
UBE2Q2 	NUDT3
ITPKC 	HRAS
SMN1 	THBS1
MAP1LC3B 	SUPT5H
APBB1 	RADIL
MVB12B 	CYFIP1
CTDSP2 	PYCR1
BPTF 	ILK
AGFG1 	STS
RAB8A 	SPON1
NFAT5 	PEX5
FABP3 	CHMP4B
NIP7 	AKR1C4
CSNK1D 	XDH
RRM1 	PTBP1
KLRD1 	DUSP15
MARK3 	HAT1
COMTD1 	HCN2
RRAGC 	CDK4
RIN3 	PDIA6
CKMT2 	MAP1LC3B
ATF4 	NVL
COL4A3BP 	PRKCG
PDCD6IP 	MTAP
MAOA 	NACC1
TENC1 	PATL1
HTRA2 	CHKB
PCSK9 	CD81
GGT1 	CTNNBL1
GGA1 	GIPR
MERTK 	ATG12
FERMT2 	DLG2
SIGLEC7 	LRRFIP1
IL5 	CCDC8
TBC1D22A 	TBX3
GSN 	MAPK9
TAF1L 	KLHL40
ROCK1 	CALCOCO2
BCL2L2 	TAF1
MAP3K10 	OBFC1
FABP4 	PADI4
TNFSF10 	BROX
APRT 	STK3
PRKAB2 	DDX25
SSB 	ELK1
DPP4 	SOCS2
SRM 	MAPK8
TNFRSF17 	PEX3
CTBP1 	PTGR2
STARD3 	MDC1
CASK 	ASL
TUBGCP4 	CAPN2
SULT1A3 	SEC13
TSN 	CSNK1G1
JUND 	PGAM1
EPRS 	ECHS1
CD40 	MEMO1
RNASEH2B 	ASS1
NPM2 	RARA
PPIF 	NCOA5
PAIP2 	SH2D3C
ACVRL1 	GOPC
SIGLEC7 	CASP6
CCNT2 	ZNF217
HCN2 	RAMP1
SEC24A 	DLG3
SLC9A3R1 	GTF2B
ITPKA 	KDM6A
REV3L 	TRPV4
YWHAH 	ANTXR1
NLRP4 	BTK
CXXC1 	CLEC9A
GLTP 	HGS
TCF3 	STRADA
UPP1 	TCF12
F10 	RORA
NEK9 	RBM25
DAPP1 	NAGS
NR1H4 	TRADD
HNRNPA1 	SHH
DOCK2 	PRPF4B
PLCE1 	TPX2
ACVR2A 	ALKBH3
ASRGL1 	CBS
CASK 	EPHB3
MAD2L2 	ILK
TNFRSF6B 	NMRAL1
RND1 	ACTL7A
STK24 	ETV1
DUSP26 	CDK2
DOCK1 	CTSK
BCL2L2-PABPN1 	TTK
FANCL 	PDE5A
AGO2 	GLMN
ADAT2 	DDX5
AKR1B10 	FGF4
RMI1 	CHMP1B
WHSC1L1 	PTP4A1
PAXIP1 	ABCB6
AIP 	KLHL11
GLYR1 	KRT14
HMBS 	CETN2
AP1G2 	UCHL1
POLL 	ARSB
SYK 	PTPRM
ACYP1 	ACTR8
EPHA4 	WDR77
UBR1 	REV1
PEX19 	MGLL
GTF2F2 	SCMH1
TENC1 	MPST
ARHGAP11A 	KDM2A
SMAD2 	GAN
TJP1 	NCBP1
DNM1L 	NT5C2
ALDH5A1 	RPSA
PDE4B 	PMS2
PIN1 	VRK1
AK4 	PARP2
TLR2 	S100A6
JAG1 	COMT
ACAT1 	NBR1
MAOA 	MMAA
DUSP6 	NCOA5
PMVK 	GGA2
PPP3CA 	GSTA1
DCX 	BRD3
ANTXR2 	GLUL
PIR 	RILP
C11orf54 	CHKA
BOC 	CA7
MTR 	PA2G4
NUDT10 	PTPRN
PPP1CC 	CST7
RTF1 	EIF4EBP1
BTF3 	NEIL1
NEIL1 	STS
ATAT1 	EXO1
ARSB 	PCBP1
CDKL3 	IGF2R
SLIT2 	ALOX12
PTPN14 	IL34
ZHX1 	PDK4
KLHL11 	KIFC3
DUSP19 	PSMD10
RAB14 	CDY1B
SKIL 	TTC5
VIL1 	B3GAT3
MBD4 	RAD23A
RRM2 	TNFSF9
STIP1 	NUTF2
MMACHC 	XPC
RRP9 	TOM1
DPYSL2 	ACVRL1
GCC2 	PPM1A
SEC24B 	SUPT5H
PDIA4 	MAPK12
MPDZ 	CRADD
HMBS 	ST6GAL1
CALM2 	STEAP3
MAP2K2 	ZFYVE9
DAPK1 	ERRFI1
WDR5 	IGF1R
DYNLL2 	ESD
GSTA1 	ADRBK1
STARD3 	USP4
GNPNAT1 	TPK1
CLIP1 	STK25
WRN 	S100A3
BPIFA1 	CDON
BARD1 	PLAA
ZBTB17 	RNF31
GIPC2 	ESRRA
NFE2L2 	FLT4
SLC4A1 	THEM5
SPHK1 	LRP8
PLA2G7 	MUT
ADARB1 	STARD5
PITRM1 	MTERFD2
NUTF2 	IL10RB
COPS5 	GPI
GALNT10 	ZHX1
DCC 	ROS1
RRM2B 	IL20
CYP1A2 	MYBPC3
CYP2B6 	HSD17B14
PDZK1 	CRYAB
EXOSC10 	DUSP6
MITD1 	CSF2RB
RASL12 	PDZD3
UROS 	GMPR
ALDH5A1 	E2F2
GIMAP1 	GSK3B
DIRAS2 	GOLPH3
ECI2 	SMG6
PARVB 	PTBP1
MECP2 	HEXIM1
CSNK1D 	FTO
TRIM33 	PWWP2B
CNTN1 	BRCA2
SEC14L2 	PACSIN2
PKM 	AKT3
EIF3J 	RAP1B
ITGA4 	CALM1
SPON1 	DCAF12
FMN2 	CDY1
GBP1 	ID2
SERPINA12 	NCS1
SPTA1 	MYOM1
PDIA6 	SUMO3
KMT2B 	KDM5A
CDKL5 	SGTA
KAT8 	MAGEA4
KAT6A 	FIGF
TRAPPC6B 	PLXND1
TNC 	CTDSP2
GLRX5 	ARFGEF2
CBX4 	GRASP
CDA 	TAF10
DMC1 	ARNT
TEAD2 	DLG1
EIF4G1 	APITD1
UEVLD 	PA2G4
RECQL5 	RSPO1
HNRNPA1 	HS3ST3A1
SNX9 	GLTP
CRHR2 	ATF4
GPD1 	THOP1
UBE2L3 	DLC1
PTGES3 	NDRG2
PDIA5 	DUSP23
RAB11A 	PBRM1
PARK7 	NSUN5
FAM105B 	CDA
GLRX2 	MERTK
PPARA 	CLIC2
CHI3L1 	MVK
NCOR2 	ITGB1BP1
UBE2B 	F11R
LGALS9 	GADD45G
FBXL5 	MAOA
STAT1 	TES
AHNAK 	PUS1
KEAP1 	CDK6
LDB1 	SHMT1
KRAS 	ERI3
ARID3A 	EIF4EBP1
CRAT 	NFATC2
GIPR 	FXN
GPX7 	EIF4E2
NLRP4 	ETF1
OAT 	RIN3
XRCC6 	GCC2
SNX1 	PRDX2
RELA 	ALDH1L1
GABARAPL1 	SUV420H1
ING1 	ECHS1
SULT2A1 	KDM8
EIF5A 	TBC1D1
PRPSAP2 	CCDC8
PMM2 	FCN1
KLHL7 	MARK2
PDXK 	ZFYVE20
CUTA 	GMPS
GRB14 	NKTR
GALNT10 	ROCK1
ENY2 	TNFRSF17
NCOR2 	ANXA6
CREBBP 	PSAT1
CA3 	AHI1
DDI1 	MLH1
KRIT1 	PNRC2
EPHA7 	MARK3
TTK 	PRDM9
BCL2L11 	MEFV
POLR3C 	BAG6
KDR 	DCLRE1A
MACROD1 	E2F2
